Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-05-08;;1251;40;130;75;4;30;28m bike
Saturday;2026-05-09;;1189;8;167;95;1;60;50m run 11.6km/h
Sunday;2026-05-10;;1173;8;177;66;0;58;60m powertraining
Monday;2026-05-11;;1186;7;185;96;0;63;25m run 11.6km/h
Tuesday;2026-05-12;;1114;7;209;62;0;65;60m powertraining
Wednesday;2026-05-13;;1730;92;78;122;8;18;
Thursday;2026-05-14;;1229;4;155;110;1;37;52m run 11.6km/h
;;Daily Average:;1268;24;157;89;2;47;
;;Adjusted For Underreporting(110%):;1394;26;173;98;2;52;
;;Calculated weight diff:;-1.10;;;;;;
;;Weight Diff:;-2.09999999999999;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
americano;2026-05-08;1x;602;30;49;31;3;6;12
kikkererwten;2026-05-08;220;308;6;39;17;0;16;20
zalm_del_blik;2026-05-08;120;126;3;1;24;1;1;20
pruim_count;2026-05-08;2x;60;0;16;1;0;2;21
rijstkoek;2026-05-08;15.4;60;0;0;1;0;0;22
appel;2026-05-08;1x;95;0;25;1;0;4;22
Saturday;;;;;;;;;
proteine;2026-05-09;40;150;1;1;30;0;3;12
pruim_count;2026-05-09;1x;30;0;8;1;0;1;14
rode_bonen;2026-05-09;240;245;2;36;20;0;16;16
rijstkoek;2026-05-09;15.4;60;0;0;1;0;0;18
rode_bonen;2026-05-09;240;245;2;36;20;0;16;19
appel;2026-05-09;1x;95;0;25;1;0;4;20
pruim_count;2026-05-09;1x;30;0;8;1;0;1;20
rode_bonen;2026-05-09;240;245;2;36;20;0;16;21
rijstkoek;2026-05-09;7.7;30;0;0;1;0;0;21
pruim_count;2026-05-09;2x;60;0;16;1;0;2;22
Sunday;;;;;;;;;
rode_bonen;2026-05-10;240;245;2;36;20;0;16;12
mango;2026-05-10;1x;135;1;35;1;0;4;15
pruim_count;2026-05-10;1x;30;0;8;1;0;1;15
rode_bonen;2026-05-10;240;245;2;36;20;0;16;18
rijstkoek;2026-05-10;30.8;119;1;0;2;0;1;18
appel;2026-05-10;1x;95;0;25;1;0;4;20
rode_bonen;2026-05-10;240;245;2;36;20;0;16;21
rijstkoek;2026-05-10;15.4;60;0;0;1;0;0;21
monday;;;;;;;;;
rode_bonen;2026-05-11;240;245;2;36;20;0;16;12
appel;2026-05-11;1x;95;0;25;1;0;4;15
proteine;2026-05-11;44;165;1;2;33;0;3;17
rode_bonen;2026-05-11;240;245;2;36;20;0;16;111
appel;2026-05-11;1x;95;0;25;1;0;4;20
pompelmoes_count;2026-05-11;1x;97;0;25;2;0;4;20
rode_bonen;2026-05-11;240;245;2;36;20;0;16;21
Tuesday;;;;;;;;;
rode_bonen;2026-05-12;240;245;2;36;20;0;16;12
appel;2026-05-12;1x;95;0;25;1;0;4;17
rode_bonen;2026-05-12;240;245;2;36;20;0;16;19
appel;2026-05-12;2x;190;1;50;1;0;9;20
rode_bonen;2026-05-12;240;245;2;36;20;0;16;21
appel;2026-05-12;1x;95;0;25;1;0;4;21
Wednesday;;;;;;;;;
eening_alken;2026-05-13;1x;1730;92;78;122;8;18;20
Thursday;;;;;;;;;
proteine;2026-05-14;30;113;0;1;23;0;2;12
appel;2026-05-14;1x;95;0;25;1;0;4;12
proteine;2026-05-14;30;113;0;1;23;0;2;14
appel;2026-05-14;1x;95;0;25;1;0;4;14
proteine;2026-05-14;40;150;1;1;30;0;3;16
appel;2026-05-14;1x;95;0;25;1;0;4;19
proteine;2026-05-14;30;113;0;1;23;0;2;19
pompelmoes_count;2026-05-14;1x;97;0;25;2;0;4;20
rijstkoek;2026-05-14;15.4;60;0;0;1;0;0;20
appel;2026-05-14;1x;95;0;25;1;0;4;21
pompelmoes_count;2026-05-14;1x;97;0;25;2;0;4;22
rijstkoek;2026-05-14;23.1;89;1;0;2;0;1;22
proteine;2026-05-14;5;19;0;0;4;0;0;22
