Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-06-12;;2127;49;306;82;5;72;28m bike
Saturday;2026-06-13;;4984;222;307;111;6;24;52m run 11.6km/h
Sunday;2026-06-14;;1366;10;182;124;0;82;42m powertraining
Monday;2026-06-15;;1219;9;147;129;1;68;52m run 11.6km/h
Tuesday;2026-06-16;;1585;33;190;130;0;85;60m powertraining
Wednesday;2026-06-17;;3179;39;275;138;5;60;52m run 11.6km/h
Thursday;2026-06-18;;0;0;0;0;0;0;
;;Daily Average:;2410;60;235;119;3;65;
;;Adjusted For Underreporting(110%):;2651;66;258;131;3;72;
;;Calculated weight diff:;0.05;;;;;;
;;Weight Diff:;0.5;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
appel;2026-06-12;1x;95;0;25;1;0;4;10
appel;2026-06-12;1x;95;0;25;1;0;4;11
americano;2026-06-12;1x;602;30;49;31;3;6;12
soepke;2026-06-12;1x;80;2;10;3;2;2;12
appel;2026-06-12;1x;95;0;25;1;0;4;12
appel;2026-06-12;1x;95;0;25;1;0;4;14
appel;2026-06-12;1x;95;0;25;1;0;4;16
olijfolie;2026-06-12;10;82;9;0;0;0;0;17
appel;2026-06-12;2x;190;1;50;1;0;9;17
rode_bonen;2026-06-12;240;245;2;36;20;0;16;20
rijstkoek;2026-06-12;15.4;60;0;0;1;0;0;20
rode_bonen;2026-06-12;240;245;2;36;20;0;16;22
rijstkoek;2026-06-12;38.5;149;1;0;3;0;1;22
Saturday;;;;;;;;;
proteine;2026-06-13;50;188;1;2;38;0;4;12
notenmix;2026-06-13;30;187;18;5;5;0;3;14
kerstomaat_count;2026-06-13;5x;20;0;5;1;0;1;16
karmeliet;2026-06-13;1x;211;0;12;0;0;0;16
ribbekes;2026-06-13;1x;900;60;25;40;1;5;18
friet;2026-06-13;200;600;30;70;8;1;8;18
mayonnaise;2026-06-13;50;372;41;1;1;1;0;18
westmalle;2026-06-13;1x;250;0;12;0;0;0;19
fourchette;2026-06-13;1x;250;0;0;0;0;0;20
delirium;2026-06-13;1x;208;0;12;0;0;0;20
paprikachips;2026-06-13;200;998;54;110;12;3;2;21
jupiler_33cl;2026-06-13;1x;143;0;10;1;0;0;21
fourchette;2026-06-13;1x;250;0;0;0;0;0;22
kleine_suikerwafel_spar_count;2026-06-13;1.5x;378;20;44;5;0;2;22
rijstkoek;2026-06-13;7.7;30;0;0;1;0;0;23
Sunday;;;;;;;;;
rode_bonen;2026-06-14;240;245;2;36;20;0;16;14
rijstkoek;2026-06-14;7.7;30;0;0;1;0;0;14
rode_bonen;2026-06-14;480;490;4;72;40;0;32;17
rode_bonen;2026-06-14;480;490;4;72;40;0;32;20
proteine;2026-06-14;30;113;0;1;23;0;2;22
Monday;;;;;;;;;
rode_bonen;2026-06-15;240;245;2;36;20;0;16;12
rode_bonen;2026-06-15;240;245;2;36;20;0;16;15
proteine;2026-06-15;64;240;1;2;48;1;5;17
rode_bonen;2026-06-15;240;245;2;36;20;0;16;19
rode_bonen;2026-06-15;240;245;2;36;20;0;16;21
Tuesday;;;;;;;;;
rode_bonen;2026-06-16;240;245;2;36;20;0;16;12
rode_bonen;2026-06-16;240;245;2;36;20;0;16;15
rode_bonen;2026-06-16;240;245;2;36;20;0;16;18
notenmix;2026-06-16;40;249;23;7;7;0;3;18
rode_bonen;2026-06-16;240;245;2;36;20;0;16;20
rode_bonen;2026-06-16;240;245;2;36;20;0;16;22
proteine;2026-06-16;30;113;0;1;23;0;2;22
Wednesday;;;;;;;;;
rode_bonen;2026-06-17;240;245;2;36;20;0;16;12
proteine;2026-06-17;42;158;1;2;32;0;3;17
rode_bonen;2026-06-17;240;245;2;36;20;0;16;19
rode_bonen;2026-06-17;240;245;2;36;20;0;16;21
Thursday;;;;;;;;;
americano;2026-06-17;1x;602;30;49;31;3;6;12
soepke;2026-06-17;1x;80;2;10;3;2;2;12
champagne;2026-06-17;1x;75;0;2;0;0;0;16
champagne;2026-06-17;1x;75;0;2;0;0;0;17
jupiler_25cl;2026-06-17;1x;105;0;8;1;0;0;17
jupiler_25cl;2026-06-17;1x;105;0;8;1;0;0;17
jupiler_25cl;2026-06-17;1x;105;0;8;1;0;0;18
jupiler_25cl;2026-06-17;1x;105;0;8;1;0;0;18
bbq;2026-06-17;2x;;;;;;;18
jupiler_25cl;2026-06-17;1x;105;0;8;1;0;0;19
jupiler_25cl;2026-06-17;1x;105;0;8;1;0;0;19
jupiler_25cl;2026-06-17;1x;105;0;8;1;0;0;19
carslberg50cl;2026-06-17;1x;210;0;17;2;0;0;20
carslberg50cl;2026-06-17;1x;210;0;17;2;0;0;20
rijstkoek;2026-06-17;23.1;89;1;0;2;0;1;21
duvel;2026-06-17;1x;211;0;12;0;0;0;21
